ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,Label
5.71,0.16,8.14,-0.09,0.08,0.01,5.22,-8.54,-1.50,0.03,-0.02,-0.02,benar
4.27,-0.58,8.62,-0.08,0.03,-0.01,5.77,-8.70,-1.47,0.10,-0.06,0.01,benar
5.65,-0.40,8.13,-0.09,0.03,-0.01,4.64,-9.22,-1.17,-0.28,-0.05,0.04,benar
8.76,0.03,4.43,-0.05,0.02,0.01,3.57,-8.95,2.67,0.04,-0.09,0.07,benar
8.47,-0.34,6.03,-0.02,0.20,0.06,4.61,-8.91,-3.69,-0.16,-0.15,0.06,benar
5.83,-0.77,7.77,-0.09,0.18,0.03,3.96,-8.95,-1.02,0.05,-0.05,-0.06,benar
5.78,-0.68,8.00,-0.09,0.18,0.04,4.52,-8.39,-1.01,0.16,-0.03,-0.07,benar
8.99,-0.33,4.58,-0.02,-0.01,0.02,3.05,-8.74,3.12,0.07,-0.15,0.02,benar
8.38,-0.69,5.86,-0.14,0.04,-0.02,3.48,-8.92,-2.93,0.08,-0.02,0.05,benar
8.16,-0.35,6.11,-0.15,-0.04,0.00,2.88,-9.66,-2.92,0.85,0.27,0.10,benar
5.90,0.58,7.80,-0.08,0.08,0.02,4.89,-8.75,-1.34,0.09,-0.08,-0.03,benar
8.23,-0.56,6.04,-0.09,0.02,0.05,2.87,-9.29,-3.32,-0.01,-0.14,0.00,benar
4.28,0.06,8.88,-0.09,0.04,-0.02,4.07,-9.00,-0.51,0.02,-0.06,-0.01,benar
9.21,-0.39,4.54,-0.11,0.02,-0.01,4.58,-8.58,2.94,0.05,-0.04,0.06,benar
8.34,-0.11,5.17,-0.07,0.16,0.01,2.43,-9.29,-2.14,0.01,-0.14,-0.11,benar
4.07,-0.48,8.91,-0.06,0.05,0.01,5.45,-9.00,-1.15,-0.03,-0.06,-0.00,benar
4.95,-0.76,8.40,-0.10,0.03,-0.01,5.21,-9.18,-0.99,0.15,-0.12,0.01,benar
6.41,0.48,7.65,-0.10,0.07,-0.05,5.56,-7.70,-1.70,-0.06,-0.00,0.03,benar
7.89,-0.30,6.05,-0.06,0.06,0.03,3.23,-9.32,-2.18,0.06,-0.07,-0.03,benar
8.98,-0.82,6.77,-0.00,-0.13,-0.03,8.81,-10.03,-3.81,0.02,-0.55,0.45,benar
5.51,0.34,8.16,0.02,0.03,-0.03,5.48,-8.33,-1.94,0.13,-0.06,0.02,benar
4.36,-0.49,8.21,-0.06,0.07,-0.00,5.74,-7.92,-1.34,-0.16,-0.08,0.00,benar
6.64,-0.43,7.09,-0.01,0.05,0.05,3.01,-9.05,-1.93,0.14,-0.07,-0.01,benar
6.94,-0.80,6.68,-0.10,0.05,-0.01,3.85,-8.86,-3.17,0.03,0.00,0.05,benar
9.55,0.21,3.88,-0.07,-0.05,-0.01,2.27,-8.64,2.90,-0.04,0.08,0.07,benar
8.15,-0.11,5.89,-0.11,0.09,-0.04,3.24,-9.31,-2.40,-0.08,-0.11,0.06,benar
8.11,-0.15,5.60,-0.12,0.07,-0.01,2.69,-9.08,-3.65,-0.01,-0.11,-0.02,benar
8.10,-0.25,5.69,-0.10,0.03,-0.01,3.09,-9.19,-2.63,0.12,-0.05,0.03,benar
7.15,-0.49,7.03,-0.04,-0.00,-0.01,3.18,-9.28,-1.88,0.22,0.02,0.03,benar
4.70,0.33,8.72,-0.10,0.02,-0.04,3.79,-9.27,-1.08,0.07,-0.06,0.03,benar
5.11,-0.83,8.49,-0.06,0.05,-0.00,5.21,-8.46,-0.95,0.02,-0.08,0.02,benar
5.88,0.10,8.04,-0.06,0.04,-0.01,3.85,-9.48,-0.49,-0.14,-0.09,0.07,benar
7.86,-0.61,7.10,-0.02,0.27,0.07,3.48,-9.61,-3.56,-0.14,-0.05,-0.10,benar
7.93,-1.00,8.17,-0.04,0.39,0.09,4.61,-9.01,-3.83,-0.25,-0.18,-0.19,benar
4.83,-0.50,8.54,-0.07,0.16,0.03,5.54,-9.08,-0.90,-0.28,-0.06,-0.01,benar
7.57,-0.20,6.21,-0.13,0.05,0.00,2.64,-9.02,-3.43,-0.04,-0.05,0.05,benar
5.52,0.42,8.27,-0.09,0.07,0.01,5.55,-8.44,-1.67,0.08,-0.09,-0.02,benar
7.07,-0.46,7.04,-0.13,0.03,-0.03,2.86,-9.48,-2.00,0.12,-0.04,0.02,benar
